ShrubID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
60-1-A-BENA,0.238,0.39,0.511,0.435,0.329,0.4,0.243,0.375,0.289,0.096,0.223,0.339,0.284,0.152,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-A-BENA,0.172,0.317,0.459,0.413,0.361,0.403,0.234,0.446,0.287,0.111,0.196,0.237,0.206,0.162,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-A-BENA,0.14,0.252,0.301,0.281,0.228,0.321,0.176,0.292,0.253,0.074,0.186,0.271,0.224,0.149,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-A-BENA,0.24,0.371,0.459,0.405,0.372,0.432,0.209,0.324,0.26,0.071,0.196,0.287,0.253,0.115,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-B-BENA,0.043,0.102,0.085,0.256,0.133,0.41,0.567,0.585,0.582,0.705,0.573,0.657,0.564,0.29,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-B-BENA,0.043,0.055,0.056,0.244,0.047,0.337,0.389,0.52,0.619,0.702,0.585,0.61,0.585,0.312,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-B-BENA,0.098,0.191,0.092,0.274,0.095,0.258,0.478,0.461,0.541,0.673,0.651,0.638,0.553,0.277,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-B-BENA,0.048,0.17,0.176,0.461,0.218,0.512,0.694,0.884,0.768,0.724,0.609,0.602,0.403,0.154,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-B-SAPU,0.189,0.375,0.228,0.329,0.253,0.399,0.308,0.349,0.289,0.096,0.152,0.183,0.137,0.096,0.096,0.147,0.152,0.314,0.566,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-B-SAPU,0.145,0.351,0.31,0.186,0.142,0.202,0.267,0.199,0.167,0.081,0.135,0.143,0.071,0.071,0.061,0.108,0.094,0.236,0.587,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-1-B-SAPU,0.128,0.485,0.344,0.207,0.088,0.253,0.216,0.202,0.145,0.098,0.139,0.149,0.105,0.101,0.094,0.111,0.101,0.334,0.539,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
